name,webdev,ai,robotics,nlp,bot,fintech,music,iot,biomedical,education,environment,fitness,vr,blockchain,gaming,hardware,research
Emma,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
Noah,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0
William,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1
James,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0
Oliver,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
Benjamin,1,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0
Elijah,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0
Lucas,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1
Mason,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,1
Logan,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1
Alexander,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1
Ethan,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Jacob,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1
Michael,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0
Daniel,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
Henry,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1
Jackson,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1
Sebastian,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0
Aiden,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1
Matthew,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0
Samuel,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0
David,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0
Joseph,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1
Carter,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0
Owen,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0
Wyatt,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0
John,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1
Jack,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1
Luke,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0
Jayden,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1
Dylan,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1
Grayson,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1
Levi,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,1
Isaac,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1
Gabriel,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0
