name,webdev,ai,robotics,nlp,bot,fintech,music,iot,biomedical,education,environment,fitness,vr,blockchain,gaming,hardware,research
Emma,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0
Noah,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,0
William,0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1
James,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
Oliver,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0
Benjamin,1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0
Elijah,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1
Lucas,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0
Mason,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
Logan,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
Alexander,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0
Ethan,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0
Jacob,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0
Michael,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0
Daniel,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0
Henry,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0
Jackson,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1
Sebastian,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1
Aiden,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0
Matthew,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0
Samuel,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1
David,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0
Joseph,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0
Carter,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0
Owen,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0
Wyatt,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1
John,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1
Jack,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Luke,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1
Jayden,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0
Dylan,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
Grayson,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0
Levi,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1
Isaac,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1
Gabriel,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0
Julian,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0
Mateo,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1
Anthony,1,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1
Jaxon,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1
Lincoln,0,1,1,0,0,1,1,0,1,1,1,0,1,1,0,1,0
Joshua,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,1
Christopher,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0
Andrew,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0
Theodore,1,0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1
Caleb,0,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,1
Ryan,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1
Asher,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0
Nathan,1,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0
Thomas,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1
Leo,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1
Olivia,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1
Ava,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
Isabella,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1
Sophia,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0
Charlotte,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0
Mia,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
Amelia,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0
Harper,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1
Evelyn,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1
Abigail,1,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0
Emily,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1
Elizabeth,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0
Mila,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1
Ella,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0
Avery,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0
Sofia,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0
Camila,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0
Aria,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1
Scarlett,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0
Victoria,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,0
Madison,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0
Luna,0,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0
Grace,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,1
Chloe,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0
